Designator,Mid X,Mid Y,Rotation,Layer
C1,140.455113,-86.0,0.0,bottom
C2,128.0,-75.5,180.0,bottom
D1,123.0,-66.5,0.0,top
D10,122.5,-104.5,0.0,top
D2,143.27,-79.5,0.0,top
D3,144.0,-104.5,0.0,top
D4,122.5,-115.5,0.0,top
D5,102.0,-103.5,0.0,top
D6,101.73,-79.5,0.0,top
D7,122.73,-90.5,0.0,top
D8,111.23,-85.0,0.0,top
D9,134.0,-85.0,0.0,top
J1,118.5,-83.5,0.0,bottom
J3,134.75877,-109.758076,330.0,bottom
R1,114.69,-79.5,180.0,bottom
R2,133.5,-75.5,270.0,bottom
R3,121.19,-111.5,0.0,bottom
R4,121.19,-108.5,0.0,bottom
RV1,138.54,-92.0,180.0,bottom
U1,122.81,-97.5,90.0,bottom
U2,126.19,-82.69,180.0,bottom
